Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2018-12-17,James Harden,11700,HOU,SG,UTA,,36.0,46.14,7,211.5,-200,108.25,-0.75,56.01,17.75,48.49,4.14,W,41,14,31,0.452,4,12,0.333,15,16,0.938,0,6,6,5,5,0,5,4,47,-1,71.7
2018-12-17,Russell Westbrook,11600,OKC,PG,CHI,,35.0,50.26,20,212.5,-800,112.5,-0.5,61.8,18.67,55.23,4.76,W,32,5,13,0.385,0,0,,3,4,0.75,4,12,16,11,5,0,4,3,13,25,59.7
2018-12-17,Tobias Harris,7700,LAC,PF,POR,,34.0,50.67,21,217.5,-118,109.5,-1.25,49.31,19.88,37.16,4.83,L,35,15,22,0.682,3,6,0.5,6,8,0.75,1,10,11,1,1,0,1,2,39,-13,55.7
2018-12-17,Damian Lillard,8800,POR,PG,@ LAC,,35.0,51.96,25,217.5,105,108.0,-0.25,55.56,21.15,43.61,4.96,W,36,11,20,0.55,6,7,0.857,11,13,0.846,0,3,3,6,2,0,2,4,39,16,55.6
2018-12-17,Devin Booker,8400,PHO,SG,@ NYK,,35.0,49.36,17,222.0,-118,111.75,3.25,51.59,21.18,35.41,4.22,W,37,11,23,0.478,2,7,0.28600000000000003,14,15,0.933,0,7,7,2,2,0,1,5,38,10,54.4
2018-12-17,Giannis Antetokounmpo,11800,MIL,SF,@ DET,,36.0,42.84,3,225.0,-160,114.25,0.75,66.86,22.13,57.19,4.85,W,31,15,21,0.7140000000000001,0,3,0.0,2,2,1.0,3,9,12,5,0,2,6,5,32,-8,53.9
2018-12-17,Rudy Gobert,8200,UTA,C,@ HOU,,33.0,53.51,18,211.5,175,103.25,-0.75,54.33,19.27,38.92,4.75,L,32,6,10,0.6,0,0,,6,6,1.0,5,8,13,4,1,3,1,4,18,3,50.6
2018-12-17,TJ Warren,6800,PHO,SF,@ NYK,,33.0,47.22,21,222.0,-118,111.75,3.25,41.68,18.56,32.06,4.71,W,39,11,18,0.611,4,8,0.5,0,0,,0,5,5,1,3,2,1,1,26,25,47.5
2018-12-17,Emmanuel Mudiay,6300,NYK,PG,PHO,,32.0,44.02,23,222.0,105,110.25,0.25,39.2,16.61,30.04,4.77,L,33,12,21,0.5710000000000001,2,6,0.333,6,7,0.857,1,5,6,6,0,0,2,3,32,-8,46.2
2018-12-17,Paul George,9800,OKC,SF,CHI,,35.0,48.77,19,212.5,-800,112.5,-0.5,61.66,27.15,44.14,4.5,W,31,8,19,0.421,4,10,0.4,4,4,1.0,2,6,8,4,3,0,3,1,24,22,45.6
2018-12-17,Donovan Mitchell,7500,UTA,SG,@ HOU,,34.0,46.5,8,211.5,175,103.25,-0.75,44.93,18.98,34.38,4.58,L,39,8,22,0.364,2,8,0.25,5,7,0.7140000000000001,1,7,8,5,3,0,4,2,23,-3,45.1
2018-12-17,LaMarcus Aldridge,8500,SAS,PF,PHI,,32.0,53.33,9,224.5,-105,111.75,111.75,54.16,23.81,37.43,4.4,W,27,8,14,0.5710000000000001,0,0,,4,4,1.0,1,9,10,2,0,3,0,3,20,23,44.0
2018-12-17,Clint Capela,9000,HOU,C,UTA,,34.0,53.92,20,211.5,-200,108.25,-0.75,57.87,22.71,38.5,4.28,W,35,2,8,0.25,0,0,,1,5,0.2,3,11,14,0,3,5,2,4,5,-4,43.8
2018-12-17,Karl-Anthony Towns,10200,MIN,C,SAC,,35.0,57.41,24,231.0,-333,119.25,-0.25,63.19,26.46,46.67,4.58,W,21,5,11,0.455,2,3,0.667,2,2,1.0,2,12,14,3,0,3,1,0,14,0,43.3
2018-12-17,Lauri Markkanen,7000,CHI,PF,@ OKC,,31.0,46.55,9,212.5,600,100.0, ,47.45,21.32,33.11,4.73,L,28,6,17,0.353,1,3,0.333,3,4,0.75,7,8,15,0,2,2,3,2,16,-28,43.0
2018-12-17,Jusuf Nurkic,8100,POR,C,@ LAC,,28.0,59.41,28,217.5,105,108.0,-0.25,50.93,21.68,38.64,4.77,W,29,8,12,0.667,0,0,,4,6,0.667,1,2,3,7,2,1,2,5,20,18,41.1
2018-12-17,Blake Griffin,9500,DET,PF,MIL,,36.0,53.82,11,225.0,138,110.75,0.75,61.18,21.74,46.95,4.94,L,35,4,13,0.308,2,7,0.28600000000000003,9,12,0.75,0,10,10,11,1,0,10,3,19,-2,40.5
2018-12-17,Eric Bledsoe,7900,MIL,PG,@ DET,,32.0,45.9,28,225.0,-160,114.25,0.75,51.95,22.38,35.58,4.5,W,35,7,16,0.438,1,2,0.5,2,5,0.4,0,3,3,9,2,0,1,2,17,8,39.1
2018-12-17,Rudy Gay,6300,SAS,SF,PHI,,27.0,51.05,25,224.5,-105,111.75,111.75,37.51,14.65,29.35,4.66,W,30,10,15,0.667,1,5,0.2,0,0,,0,6,6,3,1,1,0,1,21,29,38.7
2018-12-17,Klay Thompson,6800,GSW,SG,MEM,,34.0,35.51,13,209.5,-800,111.25,1,39.17,17.41,30.27,4.45,W,32,6,11,0.545,1,4,0.25,3,4,0.75,1,4,5,3,3,1,0,1,16,13,38.5
2018-12-17,Kevin Durant,10000,GSW,SF,MEM,,34.0,39.26,1,209.5,-800,111.25,1,61.2,21.57,46.29,4.63,W,33,7,15,0.467,1,3,0.333,8,8,1.0,0,3,3,5,0,2,2,0,23,14,38.1
2018-12-17,DeMar DeRozan,8700,SAS,SG,PHI,,35.0,45.24,15,224.5,-105,111.75,111.75,54.57,19.08,39.66,4.56,W,29,9,16,0.563,0,0,,2,2,1.0,1,5,6,7,0,0,0,1,20,12,37.7
2018-12-17,Chris Paul,8100,HOU,PG,UTA,,35.0,46.14,7,211.5,-200,108.25,-0.75,53.59,19.93,40.51,5.0,W,37,3,10,0.3,1,4,0.25,4,4,1.0,1,2,3,9,4,0,3,5,11,-3,37.1
2018-12-17,C.J. McCollum,7500,POR,SG,@ LAC,,35.0,47.0,20,217.5,105,108.0,-0.25,39.76,16.72,29.54,3.94,W,34,11,19,0.579,2,4,0.5,3,3,1.0,1,2,3,3,0,1,1,5,27,18,37.1
2018-12-17,Deandre Ayton,7400,PHO,C,@ NYK,,30.0,60.7,27,222.0,-118,111.75,3.25,40.55,18.92,27.03,3.65,W,29,8,14,0.5710000000000001,0,0,,5,5,1.0,4,9,13,1,0,0,2,2,21,7,36.1
