Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2018-11-14,LeBron James,11200,LAL,SF,POR,,35.0,44.24,10,222.5,-138,112.5,-1.75,76.4,22.53,53.65,4.79,W,36,13,19,0.684,5,6,0.833,13,15,0.867,2,8,10,9,1,3,4,0,44,4,77.5
2018-11-14,Anthony Davis,12300,NOP,PF,@ MIN,,38.0,57.43,21,235.5,-118,118.5,118.5,102.69,30.29,59.05,4.8,L,41,9,25,0.36,2,3,0.667,9,10,0.9,2,9,11,2,2,4,0,2,29,6,63.2
2018-11-14,Paul George,10300,OKC,SF,NYK,,36.0,52.64,25,215.5,-350,112.0,112.0,80.29,30.1,48.87,4.74,W,29,13,22,0.591,5,11,0.455,4,4,1.0,1,6,7,5,2,1,0,3,35,17,59.9
2018-11-14,Blake Griffin,9000,DET,PF,@ TOR,,35.0,56.75,17,223.0,400,106.5,0.25,59.03,18.25,39.67,4.41,W,40,13,22,0.591,3,8,0.375,1,2,0.5,1,11,12,3,3,2,5,2,30,6,58.9
2018-11-14,Jusuf Nurkic,8000,POR,C,@ LAL,,28.0,56.91,24,222.5,120,110.0,-1.75,56.56,20.58,36.82,4.6,L,35,7,13,0.5379999999999999,0,0,,7,8,0.875,6,8,14,1,3,4,2,4,21,0,58.3
2018-11-14,Damian Lillard,9300,POR,PG,@ LAL,,35.0,53.54,27,222.5,120,110.0,-1.75,64.92,21.17,43.48,4.68,L,38,8,23,0.348,3,9,0.333,12,13,0.923,1,7,8,11,0,1,2,2,31,-7,58.1
2018-11-14,Joel Embiid,11000,PHI,C,@ ORL,,35.0,46.42,3,218.0,-250,112.0,-0.75,73.07,21.64,51.03,4.64,L,36,6,20,0.3,4,7,0.5710000000000001,3,4,0.75,0,13,13,10,0,2,2,2,19,2,53.6
2018-11-14,Giannis Antetokounmpo,11800,MIL,SF,MEM,,36.0,43.33,6,214.0,-500,112.0,-1.0,78.88,24.73,56.34,4.77,L,35,10,14,0.7140000000000001,0,2,0.0,11,12,0.917,1,8,9,4,1,2,6,4,31,4,50.8
2018-11-14,Nikola Vucevic,8200,ORL,C,PHI,,32.0,55.74,16,218.0,210,106.0,-0.75,59.35,18.62,40.21,4.9,W,39,10,19,0.526,3,6,0.5,7,8,0.875,0,8,8,4,2,0,1,1,30,21,50.6
2018-11-14,Karl-Anthony Towns,10500,MIN,C,NOP,,36.0,58.31,22,235.5,105,117.0,117.0,76.86,27.57,48.46,4.62,W,35,9,17,0.529,2,4,0.5,5,5,1.0,5,11,16,3,0,2,5,5,25,9,49.7
2018-11-14,Andrew Wiggins,6700,MIN,SG,NOP,,37.0,47.18,18,235.5,105,117.0,117.0,51.67,19.11,33.53,5.0,W,38,8,22,0.364,4,9,0.444,3,5,0.6,3,3,6,4,3,1,2,1,23,-5,46.2
2018-11-14,Kawhi Leonard,9200,TOR,SF,DET,,35.0,40.63,8,223.0,-500,116.5,0.25,74.2,20.91,45.55,4.95,L,35,10,18,0.556,0,2,0.0,6,8,0.75,0,9,9,4,3,0,6,2,26,1,45.8
2018-11-14,TJ Warren,6400,PHO,SF,SAS,,36.0,47.52,20,212.5,210,103.25,0.25,50.25,18.68,32.48,5.08,W,38,10,17,0.588,3,8,0.375,4,4,1.0,0,4,4,2,3,0,0,4,27,24,43.8
2018-11-14,E'Twaun Moore,4900,NOP,SF,@ MIN,,32.0,34.98,13,235.5,-118,118.5,118.5,36.87,14.14,20.47,4.18,L,38,13,23,0.565,4,8,0.5,1,4,0.25,1,3,4,4,1,0,2,4,31,7,42.8
2018-11-14,Aaron Gordon,7800,ORL,PF,PHI,,34.0,54.5,27,218.0,210,106.0,-0.75,54.2,19.56,35.82,4.59,W,32,7,13,0.5379999999999999,1,3,0.333,2,3,0.667,0,6,6,6,1,2,1,4,17,0,41.2
2018-11-14,Dennis Schroder,7900,OKC,SG,NYK,,35.0,41.62,2,215.5,-350,112.0,112.0,59.13,17.79,37.07,4.69,W,30,5,10,0.5,3,5,0.6,2,2,1.0,0,4,4,12,1,1,3,2,15,30,40.8
2018-11-14,Jeff Teague,6700,MIN,PG,NOP,,32.0,51.71,26,235.5,105,117.0,117.0,55.14,16.75,32.84,4.9,W,37,4,13,0.308,1,5,0.2,5,6,0.833,0,2,2,14,1,1,3,2,14,-9,40.4
2018-11-14,Larry Nance,6300,CLE,PF,@ WAS,,33.0,57.2,20,216.0,550,102.0,-2.0,58.97,20.67,33.99,5.4,L,26,3,4,0.75,1,2,0.5,3,5,0.6,2,4,6,5,4,2,3,0,10,-13,39.7
2018-11-14,Kyrie Irving,8900,BOS,PG,CHI,,33.0,46.74,13,211.5,-1100,112.25,1.25,59.37,19.68,36.85,4.14,W,28,6,8,0.75,1,1,1.0,4,4,1.0,1,5,6,7,2,0,1,1,17,20,39.7
2018-11-14,Marc Gasol,8100,MEM,C,@ MIL,,35.0,55.37,14,214.0,400,102.0,-1.5,64.65,23.4,40.76,5.03,W,38,10,18,0.556,6,12,0.5,3,5,0.6,1,4,5,2,1,1,5,1,29,9,39.0
2018-11-14,Mike Conley,7800,MEM,PG,@ MIL,,36.0,43.51,15,214.0,400,102.0,-1.5,65.84,22.11,37.86,4.85,W,36,9,16,0.563,2,6,0.333,6,8,0.75,0,2,2,4,2,0,2,2,26,-7,38.4
2018-11-14,Steven Adams,8000,OKC,C,NYK,,34.0,54.92,18,215.5,-350,112.0,112.0,59.54,23.27,37.78,4.72,W,30,9,13,0.6920000000000001,0,0,,1,2,0.5,2,4,6,5,2,0,2,1,19,25,37.7
2018-11-14,Eric Bledsoe,7000,MIL,PG,MEM,,31.0,41.3,7,214.0,-500,112.0,-1.0,55.99,19.92,32.61,4.66,L,30,6,11,0.545,1,3,0.333,2,4,0.5,1,5,6,7,2,0,1,5,15,16,37.7
2018-11-14,Hassan Whiteside,9200,MIA,C,@ BKN,,30.0,58.11,27,217.5,-118,109.75,-0.75,66.94,21.47,44.27,4.81,W,22,5,10,0.5,0,1,0.0,4,6,0.667,2,8,10,0,2,2,1,4,14,7,37.0
2018-11-14,Shaquille Harrison,3700,CHI,PG,@ BOS,,14.0,40.18,5,211.5,750,99.25,0.25,19.77,8.25,10.52,2.84,L,23,7,10,0.7,0,0,,2,2,1.0,0,6,6,1,4,0,0,2,16,-19,36.7
2018-11-14,Tyler Johnson,4300,MIA,PG,@ BKN,,24.0,46.09,10,217.5,-118,109.75,-0.75,34.98,13.67,19.25,4.48,W,31,9,12,0.75,2,5,0.4,4,4,1.0,1,4,5,1,0,2,1,0,24,6,36.5
2018-11-14,JaVale McGee,6400,LAL,C,POR,,26.0,55.16,20,222.5,-138,112.5,-1.75,51.01,18.97,30.84,4.82,W,24,9,12,0.75,0,0,,2,2,1.0,2,2,4,0,2,2,1,3,20,5,35.8
2018-11-14,Aron Baynes,3500,BOS,C,CHI,,12.0,51.58,12,211.5,-1100,112.25,1.25,22.02,9.66,11.69,3.34,W,19,3,9,0.333,2,5,0.4,1,1,1.0,2,9,11,3,1,2,0,1,9,19,35.7
2018-11-14,Deandre Ayton,7000,PHO,C,SAS,,34.0,44.55,2,212.5,210,103.25,0.25,47.05,14.74,36.22,5.17,W,30,8,11,0.727,0,1,0.0,1,1,1.0,1,9,10,3,1,0,1,2,17,16,35.5
2018-11-14,Rudy Gobert,8500,UTA,C,@ DAL,,33.0,53.13,14,211.5,-214,108.25,-0.25,62.2,18.4,38.18,4.49,L,26,4,6,0.667,0,0,,2,6,0.333,4,7,11,2,3,0,0,1,10,-20,35.2
2018-11-14,Bradley Beal,8700,WAS,SG,CLE,,37.0,52.57,27,216.0,-700,114.0,-2.0,75.48,28.13,41.18,4.73,W,28,7,16,0.438,3,10,0.3,3,4,0.75,1,2,3,3,3,0,2,2,20,8,35.1
2018-11-14,Devin Booker,7600,PHO,SG,SAS,,37.0,50.52,24,212.5,210,103.25,0.25,71.7,22.21,40.97,5.39,W,37,5,14,0.35700000000000004,2,6,0.333,1,1,1.0,1,3,4,12,2,0,7,1,13,20,34.8
2018-11-14,Pat Connaughton,4000,MIL,SG,MEM,,15.0,33.92,8,214.0,-500,112.0,-1.0,21.09,8.12,10.55,2.64,L,27,6,9,0.667,2,5,0.4,2,4,0.5,2,4,6,2,2,1,1,1,16,21,34.2
2018-11-14,C.J. McCollum,6400,POR,SG,@ LAL,,35.0,50.17,25,222.5,120,110.0,-1.75,52.7,18.99,33.44,5.23,L,35,9,20,0.45,3,8,0.375,2,2,1.0,0,1,1,4,2,0,2,4,23,-11,34.2
2018-11-14,DeMar DeRozan,8900,SAS,SG,@ PHO,,37.0,54.76,30,212.5,-250,109.25,1.75,70.54,21.49,44.31,4.98,L,32,7,15,0.467,0,0,,10,10,1.0,0,5,5,4,0,0,2,2,24,-17,34.0
2018-11-14,Jrue Holiday,9000,NOP,SG,@ MIN,,38.0,47.98,18,235.5,-118,118.5,118.5,66.43,19.74,41.65,4.63,L,39,7,18,0.389,0,3,0.0,0,0,,2,2,4,10,0,2,6,3,14,0,33.8
2018-11-14,John Wall,10200,WAS,PG,CLE,,36.0,47.71,17,216.0,-700,114.0,-2.0,65.27,19.74,49.6,4.86,W,21,3,10,0.3,1,2,0.5,1,1,1.0,2,3,5,9,2,1,3,4,8,4,33.5
2018-11-14,Khris Middleton,7200,MIL,SG,MEM,,35.0,39.67,6,214.0,-500,112.0,-1.0,67.36,25.32,35.32,4.91,L,32,8,16,0.5,2,7,0.28600000000000003,7,7,1.0,1,4,5,3,0,0,2,1,25,-19,33.5
2018-11-14,Pascal Siakam,6400,TOR,PF,DET,,31.0,50.8,9,223.0,-500,116.5,0.25,53.13,17.86,31.0,4.84,L,29,8,12,0.667,1,1,1.0,0,1,0.0,2,5,7,2,1,1,1,4,17,0,33.4
2018-11-14,Al Horford,7200,BOS,C,CHI,,32.0,75.04,30,211.5,-1100,112.25,1.25,55.49,18.5,35.03,4.87,W,20,4,6,0.667,2,2,1.0,0,0,,0,8,8,3,1,2,0,0,10,13,33.1
