"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"39220-15755","PF","Anthony","Anthony Davis","Davis","55.23859820449562","57","12100","LAL@LAC","LAL","LAC","","","","",""
"39220-9488","SF","LeBron","LeBron James","James","51.81428745814732","56","11400","LAL@LAC","LAL","LAC","","","","",""
"39220-14513","SF","Kawhi","Kawhi Leonard","Leonard","44.611476210297134","61","9900","LAL@LAC","LAC","LAL","","","","",""
"39220-12341","SF","Paul","Paul George","George","49.15384615384615","78","9600","LAL@LAC","LAC","LAL","O","Shoulder","","",""
"39220-9663","SG","Jrue","Jrue Holiday","Holiday","42.937314161613806","67","8700","NO@TOR","NO","TOR","","","","",""
"39220-110310","PF","Zion","Zion Williamson","Williamson","0","0","8000","NO@TOR","NO","TOR","O","Knee","","",""
"39220-60021","SF","Pascal","Pascal Siakam","Siakam","32.57250061035156","80","8000","NO@TOR","TOR","NO","","","","",""
"39220-9535","PG","Kyle","Kyle Lowry","Lowry","35.46212121212121","66","7600","NO@TOR","TOR","NO","","","","",""
"39220-23776","C","Montrezl","Montrezl Harrell","Harrell","32.40243902439025","82","7300","LAL@LAC","LAC","LAL","","","","",""
"39220-80806","PG","Lonzo","Lonzo Ball","Ball","27.865956407912233","47","7100","NO@TOR","NO","TOR","","","","",""
"39220-12351","C","Derrick","Derrick Favors","Favors","27.69078947368421","76","6700","NO@TOR","NO","TOR","","","","",""
"39220-9581","C","Marc","Marc Gasol","Gasol","34.20126458662975","79","6500","NO@TOR","TOR","NO","","","","",""
"39220-66048","SF","Brandon","Brandon Ingram","Ingram","29.79615431565505","52","6300","NO@TOR","NO","TOR","","","","",""
"39220-58377","PF","Kyle","Kyle Kuzma","Kuzma","30.261973206426056","71","6200","LAL@LAC","LAL","LAC","O","Foot","","",""
"39220-9662","SG","Lou","Lou Williams","Williams","31.871998697916666","75","6200","LAL@LAC","LAC","LAL","","","","",""
"39220-9957","PF","Serge","Serge Ibaka","Ibaka","30.590539880701012","74","6000","NO@TOR","TOR","NO","","","","",""
"39220-9739","C","JaVale","JaVale McGee","McGee","28.415999348958334","75","5600","LAL@LAC","LAL","LAC","","","","",""
"39220-24247","PG","Fred","Fred VanVleet","VanVleet","23.607812881469727","64","5600","NO@TOR","TOR","NO","","","","",""
"39220-12474","PG","Patrick","Patrick Beverley","Beverley","22.52051250751202","78","5100","LAL@LAC","LAC","LAL","","","","",""
"39220-9660","C","Dwight","Dwight Howard","Howard","26.400000678168404","9","5100","LAL@LAC","LAL","LAC","","","","",""
"39220-9455","PG","Rajon","Rajon Rondo","Rondo","28.93695599099864","46","4900","LAL@LAC","LAL","LAC","GTD","Calf","","",""
"39220-9655","SG","JJ","JJ Redick","Redick","25.68684146278783","76","4800","NO@TOR","NO","TOR","","","","",""
"39220-9758","SG","Danny","Danny Green","Green","21.167500305175782","80","4600","LAL@LAC","LAL","LAC","","","","",""
"39220-15405","PF","JaMychal","JaMychal Green","Green","20.412308443509616","65","4600","LAL@LAC","LAC","LAL","","","","",""
"39220-70827","C","Ivica","Ivica Zubac","Zubac","19.98135634600106","59","4500","LAL@LAC","LAC","LAL","","","","",""
"39220-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","20.135593220338983","59","4400","NO@TOR","TOR","NO","O","Groin","","",""
"39220-23981","PG","Alex","Alex Caruso","Caruso","19.275999755859374","25","4400","LAL@LAC","LAL","LAC","GTD","Pelvis","","",""
"39220-68090","SF","OG","OG Anunoby","Anunoby","13.820588055778952","68","4300","NO@TOR","TOR","NO","","","","",""
"39220-40562","SG","Josh","Josh Hart","Hart","18.150745904267723","67","4200","NO@TOR","NO","TOR","","","","",""
"39220-84724","PG","Landry","Landry Shamet","Shamet","14.630380364912975","79","4200","LAL@LAC","LAC","LAL","","","","",""
"39220-16178","SF","Maurice","Maurice Harkless","Harkless","20.14666748046875","60","4100","LAL@LAC","LAC","LAL","","","","",""
"39220-12334","SG","Avery","Avery Bradley","Bradley","18.174603174603174","63","4000","LAL@LAC","LAL","LAC","","","","",""
"39220-15636","SG","Kentavious","Kentavious Caldwell-Pope","Caldwell-Pope","19.287804580316312","82","3900","LAL@LAC","LAL","LAC","","","","",""
"39220-16293","SG","Norman","Norman Powell","Powell","15.171666463216146","60","3900","NO@TOR","TOR","NO","","","","",""
"39220-80824","PG","Frank","Frank Jackson","Jackson","12.988524390048669","61","3900","NO@TOR","NO","TOR","","","","",""
"39220-58350","SF","Stanley","Stanley Johnson","Johnson","14.960606430516098","66","3800","NO@TOR","TOR","NO","","","","",""
"39220-58083","C","Jahlil","Jahlil Okafor","Okafor","16.78983009467691","59","3700","NO@TOR","NO","TOR","","","","",""
"39220-110356","SG","Nickeil","Nickeil Alexander-Walker","Alexander-Walker","0","0","3600","NO@TOR","NO","TOR","","","","",""
"39220-85305","SF","Kenrich","Kenrich Williams","Williams","17.876086691151496","46","3600","NO@TOR","NO","TOR","","","","",""
"39220-20805","SG","Troy","Troy Daniels","Daniels","10.01176482555913","51","3600","LAL@LAC","LAL","LAC","","","","",""
"39220-15744","SG","Rodney","Rodney McGruder","McGruder","15.706060236150568","66","3500","LAL@LAC","LAC","LAL","O","Ankle","","",""
"39220-110337","SG","Talen","Talen Horton-Tucker","Horton-Tucker","0","0","3500","LAL@LAC","LAL","LAC","O","Foot","","",""
"39220-110340","PF","Jaxson","Jaxson Hayes","Hayes","0","0","3500","NO@TOR","NO","TOR","","","","",""
