Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2019-03-12,Joel Embiid,10300,PHI,C,CLE,,31.0,25.76,3,223.5,-1400,119.25,119.25,77.55,33.07,48.56,4.71,W,34,6,16,0.375,1,3,0.333,4,4,1.0,3,16,19,5,1,4,6,2,17,9,56.3
2019-03-12,DeMar DeRozan,8900,SAS,SG,@ DAL,,35.0,27.02,21,219.0,-160,111.25,111.25,75.88,21.41,41.17,4.63,W,38,11,19,0.579,0,0,,11,11,1.0,0,4,4,6,4,0,3,4,33,9,55.8
2019-03-12,Karl-Anthony Towns,11700,MIN,C,@ DEN,,36.0,27.68,7,229.0,400,109.75,109.75,85.89,28.89,54.71,4.68,L,32,14,25,0.56,2,6,0.333,4,4,1.0,3,7,10,3,0,3,4,3,34,-15,55.5
2019-03-12,LeBron James,11500,LAL,SF,@ CHI,,30.0,31.24,17,225.5,-125,113.75, ,70.87,26.79,47.09,4.09,W,33,15,23,0.652,2,4,0.5,4,5,0.8,1,9,10,4,2,0,5,2,36,9,55.0
2019-03-12,C.J. McCollum,7600,POR,SG,@ LAC,,35.0,24.98,11,232.0,-138,117.25,0.25,51.93,17.47,31.88,4.19,W,35,12,21,0.5710000000000001,6,11,0.545,5,6,0.833,2,2,4,4,2,0,0,4,35,20,51.8
2019-03-12,Elfrid Payton,7000,NOP,PG,MIL,,34.0,22.05,21,236.5,475,113.0,-1,55.18,16.58,35.06,5.01,L,34,6,15,0.4,2,7,0.28600000000000003,0,0,,1,14,15,11,1,1,3,2,14,-27,51.5
2019-03-12,Ben Simmons,10000,PHI,PG,CLE,,35.0,22.96,26,223.5,-1400,119.25,119.25,67.56,27.86,46.59,4.66,W,38,10,16,0.625,0,0,,6,8,0.75,3,7,10,8,1,0,2,4,26,11,51.0
2019-03-12,Jalen Brunson,5400,DAL,PG,SAS,,31.0,22.13,22,219.0,138,107.75,107.75,32.93,13.67,23.52,4.36,L,37,12,16,0.75,3,6,0.5,7,7,1.0,0,5,5,4,1,0,1,1,34,5,48.0
2019-03-12,Montrezl Harrell,7200,LAC,PF,POR,,28.0,28.76,11,232.0,120,114.75,0.25,56.85,3.91,32.86,4.56,L,26,8,15,0.5329999999999999,1,1,1.0,5,8,0.625,8,3,11,3,0,3,2,3,22,-12,46.7
2019-03-12,Damian Lillard,9700,POR,PG,@ LAC,,36.0,41.34,24,232.0,-138,117.25,0.25,75.7,22.87,45.74,4.72,W,34,8,14,0.5710000000000001,3,6,0.5,1,1,1.0,0,3,3,12,2,0,3,2,20,12,44.6
2019-03-12,Darren Collison,6800,IND,PG,NYK,,31.0,18.46,3,208.5,-700,109.75,-2.25,54.42,15.47,33.12,4.87,W,31,5,11,0.455,0,1,0.0,6,6,1.0,1,4,5,9,3,0,0,3,16,5,44.5
2019-03-12,Derrick White,6300,SAS,PG,@ DAL,,30.0,20.33,15,219.0,-160,111.25,111.25,52.18,9.26,29.12,4.62,W,33,10,16,0.625,3,5,0.6,0,0,,1,2,3,7,3,0,2,5,23,-2,44.1
2019-03-12,Jamal Murray,7000,DEN,PG,MIN,,32.0,37.3,8,229.0,-500,119.25,119.25,49.64,11.79,32.94,4.71,W,32,10,16,0.625,4,6,0.667,6,6,1.0,1,2,3,1,3,0,1,0,30,20,43.1
2019-03-12,LaMarcus Aldridge,8900,SAS,PF,@ DAL,,35.0,29.88,14,219.0,-160,111.25,111.25,58.9,20.05,40.18,4.51,W,38,11,19,0.579,0,1,0.0,6,6,1.0,3,4,7,3,1,1,4,4,28,-6,42.9
2019-03-12,Anthony Davis,7600,NOP,PF,MIL,,21.0,31.32,16,236.5,475,113.0,-1,52.7,19.05,37.64,4.95,L,21,9,16,0.563,1,4,0.25,2,4,0.5,6,6,12,2,0,2,2,2,21,-10,42.4
2019-03-12,Kris Dunn,5900,CHI,PG,LAL,,30.0,42.5,27,225.5,110,111.75,-1,54.77,18.09,31.79,5.39,L,33,8,16,0.5,2,3,0.667,0,0,,2,5,7,9,2,0,4,4,18,-5,41.9
2019-03-12,Myles Turner,7500,IND,C,NYK,,30.0,33.58,23,208.5,-700,109.75,-2.25,68.78,11.73,35.22,4.7,W,37,5,15,0.333,2,6,0.333,3,8,0.375,1,8,9,4,2,2,2,2,15,10,41.8
2019-03-12,Rajon Rondo,7100,LAL,PG,@ CHI,,31.0,18.59,4,225.5,-125,113.75, ,46.97,9.96,33.55,4.73,W,31,6,9,0.667,2,4,0.5,0,0,,1,3,4,10,2,0,2,2,14,5,37.8
2019-03-12,Kentavious Caldwell-Pope,3500,LAL,SG,@ CHI,,16.0,23.45,27,225.5,-125,113.75, ,17.91,5.16,11.25,3.21,W,31,7,11,0.636,4,8,0.5,6,6,1.0,1,5,6,1,2,0,1,2,24,18,37.7
2019-03-12,Cedi Osman,5800,CLE,SF,@ PHI,,35.0,25.23,14,223.5,900,104.25,104.25,50.6,15.74,32.92,5.68,L,36,7,19,0.368,4,9,0.444,0,0,,1,7,8,4,2,0,2,1,18,-10,37.6
