Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2018-12-15,Andre Drummond,9800,DET,C,BOS,,34.0,46.1,1,214.5,115,106.25,0.5,56.48,21.13,46.14,4.71,W,33,6,14,0.429,0,0,,7,9,0.778,4,16,20,1,3,5,1,3,19,12,67.5
2018-12-15,James Harden,12000,HOU,SG,@ MEM,,36.0,41.78,1,201.5,-200,103.0,1,57.26,18.59,49.58,4.13,W,41,9,14,0.643,3,7,0.429,11,13,0.846,0,12,12,10,2,0,5,1,32,3,62.40000000000001
2018-12-15,Karl-Anthony Towns,9900,MIN,C,@ PHO,,35.0,55.5,17,218.0,-300,112.75,1,66.36,26.94,49.34,4.98,L,38,11,26,0.423,1,7,0.14300000000000002,5,6,0.833,4,8,12,4,2,2,0,4,28,-7,60.4
2018-12-15,Lonzo Ball,6900,LAL,PG,@ CHA,,34.0,42.55,18,226.5,-111,113.75,-0.25,42.79,16.53,31.91,4.62,W,35,7,11,0.636,2,4,0.5,0,0,,3,7,10,10,5,1,2,1,16,34,59.0
2018-12-15,Paul George,9700,OKC,SF,LAC,,35.0,54.35,30,222.5,-250,114.5,-0.75,63.12,27.79,45.18,4.66,W,37,11,19,0.579,5,9,0.556,6,8,0.75,1,6,7,6,1,1,0,4,33,15,56.4
2018-12-15,Russell Westbrook,11200,OKC,PG,LAC,,35.0,51.6,24,222.5,-250,114.5,-0.75,59.16,17.87,52.87,4.72,W,36,4,17,0.235,3,4,0.75,2,3,0.667,2,7,9,12,6,0,4,3,13,0,55.8
2018-12-15,LeBron James,11500,LAL,SF,@ CHA,,36.0,49.75,20,226.5,-111,113.75,-0.25,67.03,20.84,52.49,4.56,W,30,7,15,0.467,2,6,0.333,8,12,0.667,1,11,12,11,1,0,3,0,24,31,54.9
2018-12-15,Nikola Vucevic,9000,ORL,C,UTA,,31.0,56.17,20,207.0,210,100.5,0.5,50.8,18.74,40.48,4.5,W,30,5,14,0.35700000000000004,1,3,0.333,4,4,1.0,2,17,19,5,0,2,2,3,15,3,49.3
2018-12-15,LaMarcus Aldridge,8500,SAS,PF,CHI,,34.0,67.85,30,213.5,-500,111.75,-0.5,64.97,28.56,44.9,5.28,L,37,10,16,0.625,0,0,,9,11,0.818,2,10,12,1,0,1,0,1,29,-9,47.9
2018-12-15,Kyrie Irving,8800,BOS,PG,@ DET,,33.0,49.75,19,214.5,-133,108.25, ,53.53,21.4,39.92,4.54,L,33,11,25,0.44,2,6,0.333,2,3,0.667,2,6,8,4,3,0,3,3,26,1,47.6
2018-12-15,Devin Booker,7900,PHO,SG,MIN,,30.0,48.12,11,218.0,260,105.25,2,46.81,17.12,31.52,3.99,W,36,10,16,0.625,3,6,0.5,5,6,0.833,0,7,7,7,0,0,2,2,28,2,44.9
2018-12-15,Blake Griffin,9300,DET,PF,BOS,,36.0,50.58,4,214.5,115,106.25,0.5,55.81,19.91,42.9,4.61,W,36,8,16,0.5,1,2,0.5,10,13,0.769,2,6,8,6,1,0,5,2,27,-3,43.6
2018-12-15,Lauri Markkanen,6400,CHI,PF,@ SAS,,32.0,51.29,26,213.5,400,101.75, ,43.42,19.54,30.11,4.7,W,37,9,18,0.5,3,8,0.375,2,2,1.0,1,6,7,1,2,2,2,1,23,12,42.9
2018-12-15,Marcus Smart,5500,BOS,SG,@ DET,,23.0,49.75,19,214.5,-133,108.25, ,26.74,10.86,19.43,3.53,L,30,6,11,0.545,5,7,0.7140000000000001,4,6,0.667,3,5,8,3,3,0,2,5,21,-4,42.1
2018-12-15,Clint Capela,9100,HOU,C,@ MEM,,33.0,47.63,2,201.5,-200,103.0,1,53.37,22.9,36.53,4.01,W,35,10,14,0.7140000000000001,0,0,,6,7,0.857,3,7,10,0,0,2,2,5,26,6,42.0
2018-12-15,Kris Dunn,5500,CHI,PG,@ SAS,,28.0,49.56,18,213.5,400,101.75, ,37.44,13.4,26.9,4.89,W,36,11,19,0.579,0,2,0.0,2,2,1.0,0,7,7,3,2,0,1,5,24,3,41.9
