Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2019-03-26,Kemba Walker,9300,CHA,PG,SAS,,35.0,40.40,22,220.5,150,108.25,-0.25,82.78,21.34,44.46,4.78,W,42,14,31,0.452,2,8,0.25,8,11,0.727,1,8,9,11,0,1,2,1,38,8,66.3
2019-03-26,Christian Wood,3500,NOP,PF,ATL,,4.0,34.10,27,242.0,120,119.75,-0.75,5.5,0.66,2.75,0.79,L,32,7,9,0.778,1,3,0.333,8,14,0.5710000000000001,2,7,9,1,3,6,2,1,23,6,60.3
2019-03-26,JaVale McGee,7500,LAL,C,WAS,,32.0,32.97,20,236.5,-133,119.25,1.5,67.41,19.86,39.17,5.22,W,32,9,11,0.818,0,0,,2,3,0.667,5,10,15,2,2,4,2,4,20,-1,57.0
2019-03-26,Luka Doncic,9500,DAL,SG,SAC,,31.0,24.28,10,226.0,110,112.0,112.0,61.63,34.86,44.02,4.63,L,36,9,20,0.45,0,9,0.0,10,11,0.909,1,11,12,12,0,0,4,2,28,-7,56.4
2019-03-26,Blake Griffin,8600,DET,PF,@ DEN,,34.0,29.13,10,212.5,250,102.5,0.25,69.67,21.11,37.56,4.37,L,38,12,32,0.375,2,10,0.2,3,4,0.75,6,9,15,5,1,0,2,2,29,14,55.5
2019-03-26,Nikola Vucevic,9900,ORL,C,@ MIA,,34.0,29.49,11,205.0,145,100.75,1.25,65.33,15.74,43.73,4.42,W,34,10,18,0.556,2,5,0.4,2,2,1.0,3,13,16,5,1,1,2,2,24,21,54.7
2019-03-26,Trae Young,8200,ATL,PG,@ NOP,,34.0,38.67,14,242.0,-138,122.25,2.75,60.62,35.03,43.3,5.28,W,31,12,24,0.5,5,13,0.385,4,5,0.8,0,1,1,12,1,0,1,1,33,10,54.2
2019-03-26,LeBron James,11000,LAL,SF,WAS,,33.0,29.85,12,236.5,-133,119.25,1.5,72.94,29.85,52.1,4.74,W,34,11,20,0.55,1,6,0.16699999999999998,0,2,0.0,0,7,7,14,1,0,3,1,23,3,52.4
2019-03-26,Dwight Powell,6600,DAL,PF,SAC,,31.0,33.49,25,226.0,110,112.0,112.0,48.47,12.64,31.13,4.72,L,32,6,7,0.857,0,1,0.0,9,11,0.818,3,10,13,3,0,4,1,3,21,-10,52.1
2019-03-26,Andre Drummond,10200,DET,C,@ DEN,,35.0,31.17,10,212.5,250,102.5,0.25,62.24,23.03,44.46,4.36,L,29,5,15,0.333,0,0,,3,5,0.6,7,10,17,3,2,2,1,6,13,11,48.9
2019-03-26,James Harden,12000,HOU,SG,@ MIL,,36.0,34.65,1,224.0,130,110.5,-1.0,78.27,39.08,55.91,4.66,L,38,9,26,0.34600000000000003,1,9,0.111,4,5,0.8,0,10,10,7,0,2,4,4,23,-14,47.5
2019-03-26,Karl-Anthony Towns,11800,MIN,C,LAC,,35.0,34.35,28,230.0,130,113.5,-0.5,95.72,32.19,60.97,5.17,L,35,6,17,0.353,2,7,0.28600000000000003,10,11,0.909,2,11,13,3,2,0,3,3,24,-12,47.1
2019-03-26,LaMarcus Aldridge,9200,SAS,PF,@ CHA,,35.0,34.73,29,220.5,-175,112.25,0.75,59.43,21.37,40.32,4.38,L,43,8,18,0.444,0,1,0.0,4,5,0.8,8,7,15,4,1,0,0,1,20,-11,47.0
2019-03-26,Dwyane Wade,5100,MIA,SG,ORL,,27.0,23.62,6,205.0,-167,104.25,-0.75,42.83,8.02,26.55,5.21,L,29,7,17,0.412,2,5,0.4,6,7,0.857,0,7,7,7,3,0,3,3,22,1,46.9
2019-03-26,Marcus Smart,5100,BOS,SG,@ CLE,,30.0,41.70,26,216.5,-225,111.0,111.0,42.38,10.95,25.95,5.09,W,33,8,14,0.5710000000000001,2,5,0.4,3,3,1.0,1,5,6,4,3,1,1,1,21,18,45.2
2019-03-26,Dwayne Bacon,3900,CHA,SF,SAS,,31.0,20.36,4,220.5,150,108.25,-0.25,45.14,7.8,22.66,5.81,W,36,9,16,0.563,4,7,0.5710000000000001,2,4,0.5,0,6,6,1,3,1,0,1,24,15,44.7
2019-03-26,DeMar DeRozan,8700,SAS,SG,@ CHA,,35.0,30.10,28,220.5,-175,112.25,0.75,73.02,20.61,40.01,4.6,L,40,12,23,0.522,0,1,0.0,6,8,0.75,2,6,8,4,0,0,1,2,30,-14,44.6
2019-03-26,Kawhi Leonard,10400,TOR,SF,CHI,,32.0,22.78,4,219.0,-1200,116.5,116.5,68.48,20.22,45.23,4.35,W,22,4,10,0.4,0,2,0.0,6,6,1.0,1,3,4,5,6,0,0,0,14,14,44.3
2019-03-26,Jamal Murray,7000,DEN,PG,DET,,32.0,39.35,19,212.5,-300,110.0,0.75,47.49,11.04,31.1,4.44,W,38,12,19,0.632,3,7,0.429,6,7,0.857,0,3,3,5,1,0,3,5,33,12,44.1
2019-03-26,Danilo Gallinari,7600,LAC,SF,@ MIN,,31.0,31.92,22,230.0,-150,116.5,0.5,64.48,12.57,36.02,4.74,W,30,7,16,0.438,6,9,0.667,5,5,1.0,0,10,10,4,1,0,2,1,25,13,44.0
2019-03-26,Eric Bledsoe,7500,MIL,PG,HOU,,32.0,35.16,3,224.0,-150,113.5,-2.0,70.34,14.64,35.19,4.69,W,29,9,19,0.474,4,7,0.5710000000000001,1,2,0.5,2,1,3,7,1,2,3,1,23,6,43.1
2019-03-26,Giannis Antetokounmpo,12400,MIL,SF,HOU,,34.0,29.96,15,224.0,-150,113.5,-2.0,81.33,33.69,58.09,4.68,W,33,7,15,0.467,0,2,0.0,5,7,0.7140000000000001,2,12,14,4,1,1,5,3,19,7,42.8
2019-03-26,Bradley Beal,10000,WAS,SG,@ LAL,,36.0,31.35,30,236.5,115,117.25,1.5,71.53,23.41,46.0,4.6,L,37,10,19,0.526,2,7,0.28600000000000003,10,13,0.769,0,5,5,2,0,1,2,2,32,-13,42.0
2019-03-26,Kentavious Caldwell-Pope,5400,LAL,SG,WAS,,34.0,27.07,30,236.5,-133,119.25,1.5,48.26,7.34,24.46,4.53,W,36,10,17,0.588,6,12,0.5,3,3,1.0,3,2,5,1,2,0,1,1,29,18,41.5
2019-03-26,Clint Capela,8100,HOU,C,@ MIL,,34.0,26.28,1,224.0,130,110.5,-1.0,77.28,15.62,38.66,4.77,L,36,8,11,0.727,0,0,,1,1,1.0,2,9,11,2,1,2,1,2,17,-15,41.2
2019-03-26,Nikola Jokic,10700,DEN,C,DET,,34.0,28.23,7,212.5,-300,110.0,0.75,71.12,30.13,50.05,4.68,W,33,10,24,0.417,0,5,0.0,3,5,0.6,3,12,15,2,0,0,3,3,23,-9,41.0
2019-03-26,De'Aaron Fox,8800,SAC,PG,@ DAL,,34.0,42.22,28,226.0,-125,114.0,114.0,63.8,19.66,40.05,4.55,W,32,6,16,0.375,0,1,0.0,11,12,0.917,2,3,5,8,0,0,1,4,23,12,40.0
2019-03-26,Julius Randle,8400,NOP,PF,ATL,,32.0,27.59,5,242.0,120,119.75,-0.75,78.54,19.32,44.1,5.25,L,34,7,13,0.5379999999999999,1,4,0.25,9,11,0.818,4,5,9,5,1,0,6,3,24,-2,39.3
2019-03-26,Pat Connaughton,4800,MIL,SG,HOU,,28.0,22.22,18,224.0,-150,113.5,-2.0,42.82,5.95,21.42,4.46,W,31,4,5,0.8,4,5,0.8,2,2,1.0,2,5,7,4,2,2,2,0,14,15,38.4
2019-03-26,DeAndre Bembry,3800,ATL,SF,@ NOP,,15.0,24.87,11,242.0,-138,122.25,2.75,22.06,3.45,13.18,3.47,W,20,6,10,0.6,1,3,0.333,5,7,0.7140000000000001,2,4,6,2,4,0,3,1,18,22,37.2
2019-03-26,Al Horford,7100,BOS,C,@ CLE,,29.0,27.05,3,216.5,-225,111.0,111.0,50.46,15.93,31.36,4.42,W,27,7,10,0.7,0,1,0.0,5,6,0.833,2,6,8,5,0,1,2,1,19,11,37.1
2019-03-26,Jonathan Isaac,5900,ORL,SF,@ MIA,,28.0,31.61,20,205.0,145,100.75,1.25,41.9,7.01,23.06,3.91,W,29,8,13,0.615,3,8,0.375,0,0,,1,5,6,2,1,2,2,2,19,10,36.2
2019-03-26,Paul Millsap,6800,DEN,PF,DET,,32.0,27.40,3,212.5,-300,110.0,0.75,55.26,13.91,33.84,4.98,W,40,2,10,0.2,1,3,0.333,5,6,0.833,2,11,13,5,1,1,3,2,10,14,36.1
2019-03-26,Jayson Tatum,6400,BOS,PF,@ CLE,,32.0,29.65,11,216.5,-225,111.0,111.0,44.06,11.74,30.18,4.72,W,34,9,17,0.529,3,5,0.6,0,0,,2,3,5,4,1,0,1,4,21,17,35.0
2019-03-26,Elfrid Payton,8000,NOP,PG,ATL,,33.0,25.69,30,242.0,120,119.75,-0.75,67.05,20.17,42.65,5.33,L,25,5,11,0.455,1,4,0.25,0,0,,0,6,6,9,2,0,3,1,11,-14,34.7
2019-03-26,Shaquille Harrison,4800,CHI,PG,@ TOR,,35.0,21.61,19,219.0,800,102.5,102.5,49.41,13.91,30.24,6.3,L,33,6,12,0.5,0,3,0.0,3,4,0.75,1,4,5,5,3,0,3,4,15,2,34.5
2019-03-26,Andrew Wiggins,6600,MIN,SG,LAC,,35.0,24.36,11,230.0,130,113.5,-0.5,48.17,13.54,30.98,4.69,L,35,9,21,0.429,2,3,0.667,2,5,0.4,0,3,3,3,2,0,2,3,22,-13,34.1
2019-03-26,Chris Paul,8300,HOU,PG,@ MIL,,33.0,34.65,1,224.0,130,110.5,-1.0,57.0,17.22,38.62,4.65,L,32,7,18,0.389,4,9,0.444,1,1,1.0,3,6,9,4,0,0,2,1,19,-10,33.8
