"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"31306-9644","SG","James","James Harden","Harden","53.57142857142857","28","12200","SA@HOU","HOU","SA","","","","",""
"31306-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","54.86206896551724","29","11800","MIL@MIA","MIL","MIA","","","","",""
"31306-9642","PG","Russell","Russell Westbrook","Westbrook","53.3272705078125","22","11700","OKC@UTA","OKC","UTA","","","","",""
"31306-49111","C","Joel","Joel Embiid","Embiid","51.09687423706055","32","10500","TOR@PHI","PHI","TOR","","","","",""
"31306-14513","SF","Kawhi","Kawhi Leonard","Leonard","46.58076829176683","26","10300","TOR@PHI","TOR","PHI","O","Rest","","",""
"31306-12332","PG","John","John Wall","Wall","42.626668294270836","30","10000","PHO@WAS","WAS","PHO","","","","",""
"31306-12341","SF","Paul","Paul George","George","47.186665852864586","30","9800","OKC@UTA","OKC","UTA","","","","",""
"31306-9646","SF","Kevin","Kevin Durant","Durant","49.099998474121094","32","9500","DAL@GS","GS","DAL","","","","",""
"31306-9524","PG","Stephen","Stephen Curry","Curry","45.028570265997026","21","9400","DAL@GS","GS","DAL","","","","",""
"31306-66115","PG","Ben","Ben Simmons","Simmons","41.9375","32","9300","TOR@PHI","PHI","TOR","","","","",""
"31306-55059","C","Clint","Clint Capela","Capela","39.596774193548384","31","9000","SA@HOU","HOU","SA","","","","",""
"31306-58460","SG","Devin","Devin Booker","Booker","39.08636474609375","22","8900","PHO@WAS","PHO","WAS","","","","",""
"31306-40203","C","Rudy","Rudy Gobert","Gobert","39.46666740648674","33","8700","OKC@UTA","UTA","OKC","","","","",""
"31306-15595","SG","Bradley","Bradley Beal","Beal","39.296875","32","8600","PHO@WAS","WAS","PHO","","","","",""
"31306-9623","PG","Chris","Chris Paul","Paul","36.61538461538461","26","8500","SA@HOU","HOU","SA","O","Hamstring","","",""
"31306-9535","PG","Kyle","Kyle Lowry","Lowry","37.210343985721984","29","8400","TOR@PHI","TOR","PHI","O","Thigh","","",""
"31306-84669","SG","Luka","Luka Doncic","Doncic","35.04827670393319","29","8300","DAL@GS","DAL","GS","","","","",""
"31306-9714","SG","DeMar","DeMar DeRozan","DeRozan","40.463637843276516","33","8200","SA@HOU","SA","HOU","","","","",""
"31306-12363","C","Hassan","Hassan Whiteside","Whiteside","39.1760009765625","25","8000","MIL@MIA","MIA","MIL","","","","",""
"31306-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","36.28787878787879","33","7900","SA@HOU","SA","HOU","","","","",""
"31306-23169","C","Steven","Steven Adams","Adams","36.327586206896555","29","7700","OKC@UTA","OKC","UTA","","","","",""
"31306-14528","SG","Jimmy","Jimmy Butler","Butler","37.81153752253606","26","7600","TOR@PHI","PHI","TOR","","","","",""
"31306-66113","SG","Donovan","Donovan Mitchell","Mitchell","32.755173255657326","29","7500","OKC@UTA","UTA","OKC","","","","",""
"31306-84673","C","Deandre","Deandre Ayton","Ayton","34.446876525878906","32","7400","PHO@WAS","PHO","WAS","","","","",""
"31306-16233","SF","Josh","Josh Richardson","Richardson","31.927587048760778","29","7300","MIL@MIA","MIA","MIL","","","","",""
"31306-60021","PF","Pascal","Pascal Siakam","Siakam","30.033332593513258","33","7200","TOR@PHI","TOR","PHI","","","","",""
"31306-9561","C","DeAndre","DeAndre Jordan","Jordan","33.869999186197916","30","7200","DAL@GS","DAL","GS","","","","",""
"31306-12355","PG","Eric","Eric Bledsoe","Bledsoe","33.054837134576616","31","7100","MIL@MIA","MIL","MIA","","","","",""
"31306-23120","SF","TJ","TJ Warren","Warren","29.47692401592548","26","7100","PHO@WAS","PHO","WAS","","","","",""
"31306-14509","SG","Klay","Klay Thompson","Thompson","33.724998474121094","32","7000","DAL@GS","GS","DAL","","","","",""
"31306-16261","SG","Khris","Khris Middleton","Middleton","32.12068965517241","29","7000","MIL@MIA","MIL","MIA","","","","",""
"31306-9957","PF","Serge","Serge Ibaka","Ibaka","31.538710071194558","31","6900","TOR@PHI","TOR","PHI","GTD","Knee","","",""
"31306-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","26.80800048828125","25","6700","PHO@WAS","WAS","PHO","O","Knee","","",""
"31306-15860","PF","Draymond","Draymond Green","Green","30.955556233723957","18","6600","DAL@GS","GS","DAL","","","","",""
"31306-9577","SF","Rudy","Rudy Gay","Gay","28.75172371699892","29","6500","SA@HOU","SA","HOU","","","","",""
"31306-9660","C","Dwight","Dwight Howard","Howard","26.400000678168404","9","6100","PHO@WAS","WAS","PHO","O","Back","","",""
"31306-9538","SF","Trevor","Trevor Ariza","Ariza","26.74285670689174","28","6000","PHO@WAS","WAS","PHO","","","","",""
"31306-15946","SF","Harrison","Harrison Barnes","Barnes","26.5499995304988","26","5900","DAL@GS","DAL","GS","","","","",""
"31306-14496","PG","Ricky","Ricky Rubio","Rubio","28.10303104285038","33","5900","OKC@UTA","UTA","OKC","","","","",""
"31306-9556","SG","Eric","Eric Gordon","Gordon","22.064285278320312","28","5900","SA@HOU","HOU","SA","","","","",""
"31306-24247","PG","Fred","Fred VanVleet","VanVleet","22.04827670393319","29","5800","TOR@PHI","TOR","PHI","","","","",""
"31306-59318","SF","Joe","Joe Ingles","Ingles","26.860606800426137","33","5800","OKC@UTA","UTA","OKC","","","","",""
"31306-40201","SG","Dennis","Dennis Schroder","Schroder","29.22069049703664","29","5700","OKC@UTA","OKC","UTA","","","","",""
"31306-9673","PG","Goran","Goran Dragic","Dragic","26.75714329310826","14","5700","MIL@MIA","MIA","MIL","O","Knee","","",""
"31306-9655","SG","JJ","JJ Redick","Redick","24.963635993726324","33","5600","TOR@PHI","PHI","TOR","","","","",""
"31306-16359","SG","Malcolm","Malcolm Brogdon","Brogdon","26.379310344827587","29","5500","MIL@MIA","MIL","MIA","","","","",""
"31306-22541","PF","Kelly","Kelly Olynyk","Olynyk","20.386207317483837","29","5400","MIL@MIA","MIA","MIL","","","","",""
"31306-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","24.776189894903276","21","5400","DAL@GS","DAL","GS","O","Wrist","","",""
"31306-58084","SF","Justise","Justise Winslow","Winslow","23.3360009765625","25","5300","MIL@MIA","MIA","MIL","GTD","Ankle","","",""
"31306-80809","PF","Josh","Josh Jackson","Jackson","19.256250381469727","32","5300","PHO@WAS","PHO","WAS","","","","",""
"31306-15800","SF","Jae","Jae Crowder","Crowder","23.054545084635418","33","5300","OKC@UTA","UTA","OKC","","","","",""
"31306-12351","PF","Derrick","Derrick Favors","Favors","25.606250762939453","32","5200","OKC@UTA","UTA","OKC","","","","",""
"31306-23831","PF","Jerami","Jerami Grant","Grant","23.973333740234374","30","5200","OKC@UTA","OKC","UTA","","","","",""
"31306-66968","SF","Derrick","Derrick Jones Jr.","Jones Jr.","16.85","20","5200","MIL@MIA","MIA","MIL","","","","",""
"31306-9648","SF","Jeff","Jeff Green","Green","20.686665852864582","30","5200","PHO@WAS","WAS","PHO","","","","",""
"31306-80817","PF","Bam","Bam Adebayo","Adebayo","22.963334147135416","30","5200","MIL@MIA","MIA","MIL","","","","",""
"31306-9799","SG","Wesley","Wesley Matthews","Matthews","22.865384615384617","26","5100","DAL@GS","DAL","GS","GTD","Foot","","",""
"31306-14503","C","Jonas","Jonas Valanciunas","Valanciunas","25.190000406901042","30","5000","TOR@PHI","TOR","PHI","O","Thumb","","",""
"31306-14511","PF","Markieff","Markieff Morris","Morris","22.380644767515122","31","5000","PHO@WAS","WAS","PHO","","","","",""
"31306-9495","PG","J.J.","J.J. Barea","Barea","23.01481571903935","27","5000","DAL@GS","DAL","GS","","","","",""
"31306-16220","SG","Dion","Dion Waiters","Waiters","23.89666748046875","30","4900","MIL@MIA","MIA","MIL","O","Ankle","","",""
"31306-23407","PF","PJ","PJ Tucker","Tucker","20.73225845829133","31","4900","SA@HOU","HOU","SA","","","","",""
"31306-9585","SG","Dwyane","Dwyane Wade","Wade","25.118180708451703","22","4900","MIL@MIA","MIA","MIL","","","","",""
"31306-9621","C","Brook","Brook Lopez","Lopez","24.303226594002016","31","4900","MIL@MIA","MIL","MIA","","","","",""
"31306-58153","SF","Kelly","Kelly Oubre Jr.","Oubre Jr.","23.283333333333335","30","4800","PHO@WAS","PHO","WAS","","","","",""
"31306-23447","PF","Richaun","Richaun Holmes","Holmes","17.774193548387096","31","4700","PHO@WAS","PHO","WAS","","","","",""
"31306-12337","C","Greg","Greg Monroe","Monroe","9.711765064912683","17","4600","TOR@PHI","TOR","PHI","","","","",""
"31306-67312","C","Thomas","Thomas Bryant","Bryant","14.745454268022018","22","4600","PHO@WAS","WAS","PHO","","","","",""
