entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29895-49111,C,Joel,29895-42677,29895-18600,29895-14528,29895-15744,29895-16233,29895-59318,29895-41594,29895-59358,29895-9660,,,,
29895-15557,C,Andre,29895-9475,29895-18600,29895-15744,29895-9956,29895-16233,29895-59318,29895-9560,29895-59358,29895-49111,,,,
29895-12332,PG,John,29895-42677,29895-9475,29895-15684,29895-9956,29895-16233,29895-59318,29895-59358,29895-9451,29895-49111,,,,
29895-9560,PF,Blake,29895-9475,29895-18600,29895-15744,29895-9956,29895-16233,29895-59318,29895-9560,29895-59358,29895-49111,,,,
29895-66115,PG,Ben,29895-42677,29895-18600,29895-14528,29895-9956,29895-16233,29895-59318,29895-59358,29895-58461,29895-49111,,,,
29895-58462,C,Karl-Anthony,29895-9475,29895-18600,29895-14528,29895-15744,29895-16233,29895-58084,29895-59358,29895-9451,29895-49111,,,,
29895-14528,SG,Jimmy,29895-9475,29895-18600,29895-15684,29895-15744,29895-59318,29895-58084,29895-41594,29895-59358,29895-58462,,,,
29895-55062,C,Nikola,29895-9475,29895-18600,29895-15744,29895-9956,29895-16233,29895-59318,29895-9560,29895-59358,29895-49111,,,,
29895-12363,C,Hassan,29895-9475,29895-18600,29895-15744,29895-9956,29895-16233,29895-59318,29895-9560,29895-41594,29895-58462,,,,
29895-15684,SG,Victor,29895-9475,29895-18600,29895-15744,29895-9956,29895-16233,29895-59318,29895-9560,29895-59358,29895-49111,,,,
